"Story","Title","Result","Date","Stability","Duration (s)"
"Book API Test Scenarios","Create a book with valid details by roles","SUCCESS","2025-01-05T06:57:54.946418973Z[Etc/UTC]","0.0","2.84"
"Edge Cases","Accessing to an Invalid endpoint","SUCCESS","2025-01-05T06:57:59.565917392Z[Etc/UTC]","0.0","0.12"
"Edge Cases","Create a book with Extra unexpected details","SUCCESS","2025-01-05T06:57:59.692884424Z[Etc/UTC]","0.0","0.1"
"Get All Books","Get all books as different user","SUCCESS","2025-01-05T06:57:59.919576748Z[Etc/UTC]","0.0","0.31"
"Get All Books","Get all books when no book exist","SUCCESS","2025-01-05T06:58:00.233156039Z[Etc/UTC]","0.0","0.92"
"Get All Books","Get all books when books exist","SUCCESS","2025-01-05T06:58:01.160047697Z[Etc/UTC]","0.0","0.37"
"Get All Books","Get all books when books exist and validate response schema","SUCCESS","2025-01-05T06:58:01.532495627Z[Etc/UTC]","0.0","0.28"
"GET a book by ID","GET a book with a valid ID format as an admin user when book exists","SUCCESS","2025-01-05T06:58:02.105771921Z[Etc/UTC]","0.0","0.3"
"GET a book by ID","GET a non-existent book by ID as an admin","SUCCESS","2025-01-05T06:58:02.692098411Z[Etc/UTC]","0.0","0.09"
"GET a book by ID","GET a book with an invalid ID format as an admin","SUCCESS","2025-01-05T06:58:02.885130479Z[Etc/UTC]","0.0","0.09"
"GET a book by ID","GET a book with an invalid ID format as a regular user","SUCCESS","2025-01-05T06:58:02.982103237Z[Etc/UTC]","0.0","0.09"
"Update Book by ID","Update a book with a valid ID as an admin","SUCCESS","2025-01-05T06:58:03.075728458Z[Etc/UTC]","0.0","0.26"
"Update Book by ID","Update a book with missing mandatory fields as an admin","SUCCESS","2025-01-05T06:58:03.336064323Z[Etc/UTC]","0.0","0.24"
"Update Book by ID","Update a book with a valid ID as a normal user","SUCCESS","2025-01-05T06:58:03.57782212Z[Etc/UTC]","0.0","0.19"
